wind_plant,wind_speed (m/s),wind_dir,temp,pressure,latitude,longitude,Turbine Model,Tower Height,Rotor Diameter,Production Year,START m/s,STOP  m/s,Real Prod(mwh),Service,MaxLimit,pred4
Unit1,1.1,270,2.2,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.0005999999993946,0.0,1.3,0.0005999999993946
Unit1,1.7,257,0.2,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.0002000000004045,0.0,1.3,0.0002000000003954
Unit1,2.4,218,-1.4,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.0246000000006461,0.0,1.3,0.0246000000006461
Unit1,4.6,181,-0.9,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.1322000000000116,0.0,1.3,0.1322000000000116
Unit1,6.0,198,-1.3,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.4339999999992869,0.0,1.3,0.4339999999992869
Unit1,7.5,181,-0.4,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.8168000000005122,0.0,1.3,0.8168000000005122
Unit1,8.2,184,0.0,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.6939999999995052,0.0,1.3,0.6939999999995052
Unit1,7.5,188,0.2,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.6208000000005995,0.0,1.3,0.6208000000005995
Unit1,8.1,194,-0.5,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.4851999999991676,0.0,1.3,0.4851999999991676
Unit1,7.8,208,1.3,988,48.212883,27.696193,3,69,60,1999,2.5,25,0.4236000000000786,0.0,1.3,0.4236000000000786
Unit1,7.5,209,1.6,987,48.212883,27.696193,3,69,60,1999,2.5,25,0.3582000000005791,0.0,1.3,0.3582000000005791
Unit1,8.3,211,2.6,985,48.212883,27.696193,3,69,60,1999,2.5,25,0.5093999999990046,0.0,1.3,0.5093999999990046
Unit1,8.1,209,2.9,985,48.212883,27.696193,3,69,60,1999,2.5,25,0.7034000000003289,0.0,1.3,0.7034000000003289
Unit1,8.6,208,2.4,984,48.212883,27.696193,3,69,60,1999,2.5,25,0.4924000000009982,0.0,1.3,0.4924000000009982
Unit1,8.7,217,3.9,982,48.212883,27.696193,3,69,60,1999,2.5,25,0.4225999999998748,0.0,1.3,0.4225999999998748
Unit1,8.4,218,3.9,982,48.212883,27.696193,3,69,60,1999,2.5,25,0.4579999999987194,0.0,1.3,0.4579999999987194
Unit1,8.6,225,4.7,981,48.212883,27.696193,3,69,60,1999,2.5,25,0.3294000000005326,0.0,1.3,0.3294000000005326
Unit1,8.7,220,4.3,980,48.212883,27.696193,3,69,60,1999,2.5,25,0.3621999999995751,0.0,1.3,0.3621999999995751
Unit1,8.8,225,5.5,980,48.212883,27.696193,3,69,60,1999,2.5,25,0.276400000000649,0.0,1.3,0.276400000000649
Unit1,8.3,253,7.7,980,48.212883,27.696193,3,69,60,1999,2.5,25,0.6119999999991705,0.0,1.3,0.6119999999991705
Unit1,8.5,269,9.2,979,48.212883,27.696193,3,69,60,1999,2.5,25,0.583600000001752,0.0,1.3,0.583600000001752
Unit1,9.3,276,10.0,978,48.212883,27.696193,3,69,60,1999,2.5,25,0.182199999999284,0.0,1.3,0.182199999999284
Unit1,9.0,271,10.2,977,48.212883,27.696193,3,69,60,1999,2.5,25,0.4122000000006665,0.0,1.3,0.4122000000006665
Unit1,6.9,262,7.8,977,48.212883,27.696193,3,69,60,1999,2.5,25,0.4671999999991385,0.0,1.3,0.4671999999991385
Unit1,9.3,279,9.3,977,48.212883,27.696193,3,69,60,1999,2.5,25,0.3107999999992898,0.0,1.3,0.3107999999992898
Unit1,10.5,278,8.8,978,48.212883,27.696193,3,69,60,1999,2.5,25,0.2894000000014785,0.0,1.3,0.2894000000014785
Unit1,10.1,283,8.1,977,48.212883,27.696193,3,69,60,1999,2.5,25,0.5563999999994849,0.0,1.3,0.5563999999994849
Unit1,9.8,284,6.9,977,48.212883,27.696193,3,69,60,1999,2.5,25,0.546199999998862,0.0,1.3,0.546199999998862
Unit1,10.0,282,6.9,978,48.212883,27.696193,3,69,60,1999,2.5,25,0.8888000000006286,0.0,1.3,0.8888000000006286
Unit1,11.0,283,6.8,978,48.212883,27.696193,3,69,60,1999,2.5,25,0.5408000000006723,0.0,1.3,0.5408000000006723
Unit1,9.6,287,5.7,978,48.212883,27.696193,3,69,60,1999,2.5,25,0.8958000000002357,0.0,1.3,0.8958000000002357
Unit1,9.8,284,5.6,978,48.212883,27.696193,3,69,60,1999,2.5,25,0.9995999999991908,0.0,1.3,0.9995999999991908
Unit1,9.9,280,5.9,978,48.212883,27.696193,3,69,60,1999,2.5,25,1.010599999999613,0.0,1.3,1.010599999999613
Unit1,11.6,287,6.0,978,48.212883,27.696193,3,69,60,1999,2.5,25,0.7337999999999738,0.0,1.3,0.7337999999999738
Unit1,12.3,293,5.8,979,48.212883,27.696193,3,69,60,1999,2.5,25,0.9148000000004686,0.0,1.3,0.9148000000004686
Unit1,11.1,292,5.6,978,48.212883,27.696193,3,69,60,1999,2.5,25,1.190599999999904,0.0,1.3,1.190599999999904
Unit1,12.5,297,4.9,980,48.212883,27.696193,3,69,60,1999,2.5,25,1.287000000000262,0.0,1.3,1.287000000000262
Unit1,12.3,298,4.7,980,48.212883,27.696193,3,69,60,1999,2.5,25,1.256600000000617,0.0,1.3,1.256600000000617
Unit1,12.7,299,4.4,981,48.212883,27.696193,3,69,60,1999,2.5,25,1.256999999999607,0.0,1.3,1.256999999999607
Unit1,10.7,300,3.7,981,48.212883,27.696193,3,69,60,1999,2.5,25,1.2150000000001455,0.0,1.3,1.2150000000001455
Unit1,12.0,303,3.8,983,48.212883,27.696193,3,69,60,1999,2.5,25,1.2061999999987163,0.0,1.3,1.2061999999987163
Unit1,10.4,305,3.9,983,48.212883,27.696193,3,69,60,1999,2.5,25,1.2300000000013824,0.0,1.3,1.2300000000013824
Unit1,10.1,315,3.7,986,48.212883,27.696193,3,69,60,1999,2.5,25,1.0666000000001077,0.0,1.3,1.0666000000001077
Unit1,11.5,329,2.9,986,48.212883,27.696193,3,69,60,1999,2.5,25,0.9881999999997788,0.0,1.3,0.9881999999997788
Unit1,9.8,336,3.2,988,48.212883,27.696193,3,69,60,1999,2.5,25,0.8302000000003318,0.0,1.3,0.8302000000003318
Unit1,9.1,334,3.5,987,48.212883,27.696193,3,69,60,1999,2.5,25,0.8963999999996304,0.0,1.3,0.8963999999996304
Unit1,9.0,331,2.4,989,48.212883,27.696193,3,69,60,1999,2.5,25,0.6234000000004016,0.0,1.3,0.6234000000004016
Unit1,8.3,330,1.0,989,48.212883,27.696193,3,69,60,1999,2.5,25,0.4439999999995052,0.0,1.3,0.4439999999995052
Unit1,7.3,331,1.6,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.4231999999992695,0.0,1.3,0.4231999999992695
Unit1,6.2,334,0.5,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.2862000000004627,0.0,1.3,0.2862000000004627
Unit1,5.8,338,0.9,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1018000000003667,0.0,1.3,0.1018000000003667
Unit1,5.2,345,1.5,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0471999999990657,0.0,1.3,0.0471999999990657
Unit1,4.3,334,0.0,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0094000000008236,0.0,1.3,0.0094000000008236
Unit1,3.3,5,-2.7,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0,0.0,1.3,0.0
Unit1,4.3,338,-1.6,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0,0.0,1.3,0.0
Unit1,2.5,45,-1.3,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0,0.0,1.3,0.0
Unit1,3.3,11,-2.8,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.0,0.0,1.3,0.0
Unit1,0.9,84,-1.9,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.004399999999805,0.0,1.3,0.004399999999805
Unit1,2.1,113,-1.0,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0051999999996041,0.0,1.3,0.0051999999996041
Unit1,4.1,144,-1.1,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0072000000000116,0.0,1.3,0.0072000000000116
Unit1,3.8,131,-0.4,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.048399999999674,0.0,1.3,0.048399999999674
Unit1,4.2,135,-1.4,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0938000000005558,0.0,1.3,0.0938000000005558
Unit1,5.2,137,-1.8,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1175999999995838,0.0,1.3,0.1175999999995838
Unit1,6.4,149,-1.4,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.1498000000010506,0.0,1.3,0.1498000000010506
Unit1,5.3,144,-0.2,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.1595999999990454,0.0,1.3,0.1595999999990454
Unit1,6.3,128,-1.6,988,48.212883,27.696193,3,69,60,1999,2.5,25,0.1656000000002677,0.0,1.3,0.1656000000002677
Unit1,5.7,137,-1.2,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1219999999993888,0.0,1.3,0.1219999999993888
Unit1,5.2,154,-0.4,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0979999999999563,0.0,1.3,0.0979999999999563
Unit1,3.9,142,1.0,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0416000000004714,0.0,1.3,0.0416000000004714
Unit1,3.6,144,0.4,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0244000000002415,0.0,1.3,0.0244000000002415
Unit1,3.9,130,0.1,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0033999999996012,0.0,1.3,0.0033999999996012
Unit1,2.8,145,0.7,990,48.212883,27.696193,3,69,60,1999,2.5,25,0.0018000000000029,0.0,1.3,0.0018000000000029
Unit1,3.4,133,1.3,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.0104000000010273,0.0,1.3,0.0104000000010273
